Kununurra,0,AU,-15.77,65,-15.77,128.74,80.6,14.99
Iqaluit,90,CA,63.75,62,63.75,-68.52,-13.01,4.7
Tsabong,0,BW,-26.02,29,-26.02,22.4,63.74,3.24
Ushuaia,75,AR,-54.81,80,-54.81,-68.31,44.6,28.86
Sedan,76,FR,49.7,100,49.7,4.94,37.4,1.12
Qaanaaq,0,GL,77.48,93,77.48,-69.36,-16.28,6.49
Locri,40,IT,38.24,71,38.24,16.26,50.0,3.58
Mataura,48,NZ,-46.19,64,-46.19,168.86,65.85,16.89
Jamestown,0,AU,-33.21,42,-33.21,138.6,74.22,7.49
College,0,US,64.86,69,64.86,-147.8,-32.44,2.91
Samana,0,EC,0.12,83,0.12,-76.97,82.4,5.82
Albany,75,US,42.65,44,42.65,-73.75,28.94,18.34
Bluff,48,AU,-23.58,53,-23.58,149.07,84.8,13.76
Carnarvon,0,ZA,-30.97,29,-30.97,22.13,63.87,10.96
Wainwright,88,CA,52.84,88,52.84,-110.86,30.8,4.14
Lovozero,88,RU,68.01,100,68.01,35.02,25.35,5.14
Salalah,20,OM,17.01,73,17.01,54.1,73.4,4.7
Touros,0,BR,-5.2,78,-5.2,-35.46,78.8,4.7
Tuktoyaktuk,90,CA,69.44,76,69.44,-133.03,-4.01,5.82
Bambous Virieux,40,MU,-20.34,83,-20.34,57.76,82.4,13.87
Mareeba,0,AU,-16.99,65,-16.99,145.42,82.4,4.7
Georgetown,40,GY,6.8,83,6.8,-58.16,80.6,13.87
Solnechnyy,8,RU,50.72,34,50.72,136.64,-23.3,3.36
Mandalgovi,0,MN,45.76,54,45.76,106.27,-13.62,8.61
Saint-Philippe,90,CA,45.36,62,45.36,-73.48,18.5,8.05
Charlestown,40,US,41.38,44,41.38,-71.64,42.08,8.05
Hermanus,0,ZA,-34.42,95,-34.42,19.24,53.97,3.91
Ngaglik,8,ID,-7.11,90,-7.11,111.62,76.25,4.25
Dikson,44,RU,73.51,100,73.51,80.55,-7.28,27.29
Hilo,1,US,19.71,49,19.71,-155.08,80.96,12.75
Srednekolymsk,24,RU,67.46,50,67.46,153.71,-30.14,3.13
Moranbah,68,AU,-22.0,58,-22.0,148.04,82.82,13.76
Luderitz,0,NA,-26.65,85,-26.65,15.16,59.82,14.2
Hithadhoo,92,MV,-0.6,100,-0.6,73.08,77.51,0.89
Cape Town,0,ZA,-33.93,82,-33.93,18.42,64.4,9.17
Thompson,90,CA,55.74,84,55.74,-97.86,3.2,4.7
Bredasdorp,0,ZA,-34.53,77,-34.53,20.04,66.2,2.24
Vao,76,EE,59.1,92,59.1,26.19,20.36,10.29
Necochea,24,AR,-38.55,86,-38.55,-58.74,67.83,10.63
Severo-Kurilsk,44,RU,50.68,100,50.68,156.12,25.67,26.96
Vaini,0,IN,15.34,79,15.34,74.49,56.85,4.36
Morondava,56,MG,-20.3,86,-20.3,44.28,81.38,4.92
Teya,5,MX,21.05,57,21.05,-89.07,78.8,6.93
Chokurdakh,8,RU,70.62,0,70.62,147.9,-41.48,2.68
Pochutla,20,MX,15.74,55,15.74,-96.47,86.0,6.93
Kokstad,12,ZA,-30.55,95,-30.55,29.42,50.69,2.68
Fortuna,0,ES,38.18,60,38.18,-1.13,42.8,4.7
